"CMS Certification Number (CCN)","Provider Name","Provider Address",City/Town,State,"ZIP Code","Telephone Number","Provider SSA County Code",County/Parish,Urban,"Ownership Type","Number of Certified Beds","Average Number of Residents per Day","Average Number of Residents per Day Footnote","Provider Type","Provider Resides in Hospital","Legal Business Name","Date First Approved to Provide Medicare and Medicaid Services","Chain Name","Chain ID","Number of Facilities in Chain","Chain Average Overall 5-star Rating","Chain Average Health Inspection Rating","Chain Average Staffing Rating","Chain Average QM Rating","Continuing Care Retirement Community","Special Focus Status","Abuse Icon","Most Recent Health Inspection More Than 2 Years Ago","Provider Changed Ownership in Last 12 Months","With a Resident and Family Council","Automatic Sprinkler Systems in All Required Areas","Overall Rating","Overall Rating Footnote","Health Inspection Rating","Health Inspection Rating Footnote","QM Rating","QM Rating Footnote","Long-Stay QM Rating","Long-Stay QM Rating Footnote","Short-Stay QM Rating","Short-Stay QM Rating Footnote","Staffing Rating","Staffing Rating Footnote","Reported Staffing Footnote","Physical Therapist Staffing Footnote","Reported Nurse Aide Staffing Hours per Resident per Day","Reported LPN Staffing Hours per Resident per Day","Reported RN Staffing Hours per Resident per Day","Reported Licensed Staffing Hours per Resident per Day","Reported Total Nurse Staffing Hours per Resident per Day","Total number of nurse staff hours per resident per day on the weekend","Registered Nurse hours per resident per day on the weekend","Reported Physical Therapist Staffing Hours per Resident Per Day","Total nursing staff turnover","Total nursing staff turnover footnote","Registered Nurse turnover","Registered Nurse turnover footnote","Number of administrators who have left the nursing home","Administrator turnover footnote","Nursing Case-Mix Index","Nursing Case-Mix Index Ratio","Case-Mix Nurse Aide Staffing Hours per Resident per Day","Case-Mix LPN Staffing Hours per Resident per Day","Case-Mix RN Staffing Hours per Resident per Day","Case-Mix Total Nurse Staffing Hours per Resident per Day","Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day","Adjusted Nurse Aide Staffing Hours per Resident per Day","Adjusted LPN Staffing Hours per Resident per Day","Adjusted RN Staffing Hours per Resident per Day","Adjusted Total Nurse Staffing Hours per Resident per Day","Adjusted Weekend Total Nurse Staffing Hours per Resident per Day","Rating Cycle 1 Standard Survey Health Date","Rating Cycle 1 Total Number of Health Deficiencies","Rating Cycle 1 Number of Standard Health Deficiencies","Rating Cycle 1 Number of Complaint Health Deficiencies","Rating Cycle 1 Health Deficiency Score","Rating Cycle 1 Number of Health Revisits","Rating Cycle 1 Health Revisit Score","Rating Cycle 1 Total Health Score","Rating Cycle 2 Standard Health Survey Date","Rating Cycle 2/3 Total Number of Health Deficiencies","Rating Cycle 2 Number of Standard Health Deficiencies","Rating Cycle 2/3 Number of Complaint Health Deficiencies","Rating Cycle 2/3 Health Deficiency Score","Rating Cycle 2/3 Number of Health Revisits","Rating Cycle 2/3 Health Revisit Score","Rating Cycle 2/3 Total Health Score","Total Weighted Health Survey Score","Number of Citations from Infection Control Inspections","Number of Fines","Total Amount of Fines in Dollars","Number of Payment Denials","Total Number of Penalties",Location,Latitude,Longitude,"Geocoding Footnote","Processing Date"
015009,"BURNS NURSING HOME, INC.","701 MONROE STREET NW",RUSSELLVILLE,AL,35653,2563324110,290,Franklin,N,"For profit - Corporation",57,51.6,,"Medicare and Medicaid",N,"BURNS NURSING HOME, INC.",1969-09-01,,,,,,,,N,,N,Y,N,Resident,Yes,2,,2,,4,,4,,4,,4,,,,2.45651,0.58655,1.01238,1.59894,4.05544,3.27167,0.52751,0.00328,44.8,,28.6,,0,,1.37983,0.97732,2.26485,0.83919,0.66978,3.77382,3.34556,2.49557,0.59588,1.02848,4.11994,3.32370,2023-03-02,4,4,0,56,1,0,56,2019-08-21,2,2,0,8,1,0,8,44.000,,0,0.00,0,0,"701 MONROE STREET NW,RUSSELLVILLE,AL,35653",34.5149,'-87.736,,2026-07-01
015010,"COOSA VALLEY HEALTHCARE CENTER","260 WEST WALNUT STREET",SYLACAUGA,AL,35150,2562495604,600,Talladega,N,"For profit - Corporation",85,80.1,,"Medicare and Medicaid",N,"COOSA VALLEY HEALTHCARE CENTER LLC",1967-01-01,"PRIME HEALTH CARE ENTERPRISES",419,5,4.0,3.8,4.0,2.4,N,,N,Y,N,Resident,Yes,5,,5,,2,,2,,1,,4,,,,2.56822,0.88957,0.81947,1.70904,4.27726,3.36670,0.40857,0.01062,46.7,,23.1,,0,,1.32615,0.93930,2.17674,0.80654,0.64372,3.62701,3.21540,2.71468,0.94029,0.86620,4.52117,3.55868,2022-04-09,0,0,0,0,0,0,0,2019-06-13,1,1,0,4,1,0,4,1.000,0,0,0.00,0,0,"260 WEST WALNUT STREET,SYLACAUGA,AL,35150",33.1637,'-86.254,,2026-07-01
015012,"HIGHLANDS HEALTH AND REHAB","380 WOODS COVE ROAD",SCOTTSBORO,AL,35768,2562183708,350,Jackson,N,"Government - County",50,44.5,,"Medicare and Medicaid",N,"HH HEALTH SYSTEM - JACKSON LLC",1967-01-01,"HUNTSVILLE HOSPITAL HEALTH SYSTEM",610,3,3.3,2.7,3.7,4.3,N,,N,Y,N,Resident,Yes,5,,4,,5,,4,,5,,4,,,,2.79490,0.87549,1.12984,2.00533,4.80023,3.83768,0.39763,0.09901,,26,,26,0,,1.35640,0.96072,2.22638,0.82494,0.65840,3.70972,3.28873,2.88842,0.90478,1.16764,4.96084,3.96608,2022-03-24,0,0,0,0,0,0,0,2019-06-06,2,2,0,20,1,0,20,5.000,,0,0.00,0,0,"380 WOODS COVE ROAD,SCOTTSBORO,AL,35768",34.6611,'-86.047,,2026-07-01
015014,"THE HEALTHCARE CENTER OF EASTVIEW","7755 FOURTH AVENUE SOUTH",BIRMINGHAM,AL,35206,2058330146,360,Jefferson,Y,"For profit - Individual",92,74.8,,"Medicare and Medicaid",N,"ARRINGTON VALLEY HEALTHCARE, INC.",1967-01-01,"THE ENSIGN GROUP",507,346,3.2,2.9,2.7,4.4,N,,N,Y,N,None,Yes,2,,2,,4,,4,,,2,3,,,,1.99654,0.74371,0.65325,1.39696,3.39350,2.91552,0.43231,0.01527,36.2,,14.3,,,26,1.38891,0.98375,2.27976,0.84471,0.67418,3.79865,3.36757,2.01503,0.75060,0.65930,3.42493,2.94253,2023-09-13,4,4,0,32,1,0,32,2020-02-20,2,1,1,8,1,0,8,26.000,0,0,0.00,0,0,"7755 FOURTH AVENUE SOUTH,BIRMINGHAM,AL,35206",33.5595,'-86.722,,2026-07-01
015015,"PLANTATION MANOR NURSING HOME","6450 OLD TUSCALOOSA HIGHWAY","MC CALLA",AL,35111,2054776161,360,Jefferson,Y,"For profit - Corporation",103,95.7,,"Medicare and Medicaid",N,"C & G HEALTHCARE SERVICES, INC.",1971-07-01,,,,,,,,N,,N,N,N,Resident,Yes,3,,3,,2,,2,,,2,4,,,,2.30039,0.74892,0.44117,1.19009,3.49047,3.25351,0.21699,0.02122,36.4,,12.5,,2,,1.11137,0.78717,1.82420,0.67592,0.53946,3.03957,2.69463,2.90149,0.94462,0.55645,4.40256,4.10368,2026-02-20,5,5,3,20,1,0,20,2020-03-05,2,2,0,20,1,0,20,20.000,,0,0.00,0,0,"6450 OLD TUSCALOOSA HIGHWAY,MC CALLA,AL,35111",33.3222,'-87.034,,2026-07-01
015016,"ATHENS HEALTH AND REHABILITATION LLC","611 WEST MARKET STREET",ATHENS,AL,35611,2562321620,410,Limestone,Y,"For profit - Corporation",149,139.4,,"Medicare and Medicaid",N,"ATHENS HEALTH AND REHABILITATION LLC",1967-01-01,"NHS MANAGEMENT",372,43,2.9,2.7,3.7,3.5,N,,N,Y,N,Resident,Yes,5,,4,,5,,5,,5,,4,,,,2.48483,0.67867,0.69760,1.37628,3.86111,3.35973,0.38563,0.05182,43.7,,26.3,,0,,1.37201,0.97178,2.25201,0.83443,0.66598,3.75241,3.32658,2.53875,0.69340,0.71274,3.94489,3.43263,2022-04-14,0,0,0,0,0,0,0,2019-08-29,4,4,0,20,1,0,20,5.000,,0,0.00,0,0,"611 WEST MARKET STREET,ATHENS,AL,35611",34.8035,'-86.977,,2026-07-01
015019,"MERRY WOOD LODGE","280 MT HEBRON ROAD",ELMORE,AL,36025,3345678484,250,Elmore,Y,"For profit - Limited Liability company",124,98.6,,"Medicare and Medicaid",N,"SUNBRIDGE HEALTHCARE LLC",1974-01-01,"GENESIS HEALTHCARE",237,185,2.4,2.3,2.5,3.5,N,"SFF Candidate",Y,N,N,Resident,Yes,1,,1,,4,,5,,3,,3,,,,1.90800,0.55181,0.77928,1.33109,3.23910,2.88607,0.50633,0.03937,51.9,,54.2,,1,,1.27372,0.90216,2.09068,0.77465,0.61827,3.48360,3.08827,2.09983,0.60729,0.85763,3.56475,3.17624,2024-09-01,8,8,8,557,2,279,836,2020-03-03,7,6,1,52,1,0,52,640.000,,1,182968.00,1,2,"280 MT HEBRON ROAD,ELMORE,AL,36025",32.5582,'-86.323,,2026-07-01
015023,"HATLEY HEALTH CARE INC","300 MEDICAL CENTER DRIVE",CLANTON,AL,35045,2057554960,100,Chilton,Y,"For profit - Corporation",201,95.9,,"Medicare and Medicaid",N,"HATLEY HEALTH CARE, INC.",1967-01-01,,,,,,,,N,,N,Y,N,Both,Yes,4,,4,,4,,4,,,2,3,,,,1.88052,1.26005,0.65820,1.91825,3.79877,3.06401,0.19470,0.00056,44.6,,35.7,,0,,1.41288,1.00073,2.31909,0.85929,0.68582,3.86420,3.42567,1.86575,1.25015,0.65302,3.76892,3.03994,2023-06-15,4,4,0,8,1,0,8,2022-01-19,0,0,0,0,0,0,0,6.000,,0,0.00,0,0,"300 MEDICAL CENTER DRIVE,CLANTON,AL,35045",32.8548,'-86.625,,2026-07-01
015024,"LIMESTONE NURSING AND REHABILITATION CENTER, LLC","1600 WEST HOBBS STREET",ATHENS,AL,35611,2562323461,410,Limestone,Y,"For profit - Corporation",170,143.9,,"Medicare and Medicaid",N,"LIMESTONE NURSING AND REHABILITATION CENTER LLC",1979-01-01,"PRESTON HEALTH SERVICES",702,5,3.2,3.2,3.2,2.8,N,,N,Y,N,Resident,Yes,3,,3,,3,,4,,2,,2,,,,1.94303,1.01579,0.40038,1.41617,3.35920,3.01584,0.27955,0.02977,48.3,,31.6,,0,,1.35273,0.95813,2.22037,0.82271,0.65662,3.69970,3.27985,2.01347,1.05262,0.41489,3.48099,3.12518,2020-02-13,3,3,0,24,1,0,24,2019-03-20,2,2,0,20,1,0,20,23.000,,0,0.00,0,0,"1600 WEST HOBBS STREET,ATHENS,AL,35611",34.8053,'-86.991,,2026-07-01
015027,"WETUMPKA HEALTH AND REHABILITATION, LLC","1825 HOLTVILLE ROAD",WETUMPKA,AL,36092,3345675131,250,Elmore,Y,"For profit - Corporation",121,114.4,,"Medicare and Medicaid",N,"WETUMPKA HEALTH AND REHABILITATION, LLC",1967-07-24,"NHS MANAGEMENT",372,43,2.9,2.7,3.7,3.5,N,,N,Y,N,Resident,Yes,1,,1,,3,,4,,2,,3,,,,2.52171,0.64509,0.55153,1.19663,3.71834,3.07107,0.31666,0.01696,50.0,,61.9,,1,,1.20989,0.85695,1.98591,0.73583,0.58729,3.30903,2.93351,2.92165,0.74741,0.63901,4.30806,3.55814,2023-12-07,15,15,4,104,1,0,104,2022-01-27,0,0,0,0,0,0,0,78.000,,0,0.00,0,0,"1825 HOLTVILLE ROAD,WETUMPKA,AL,36092",32.5584,'-86.221,,2026-07-01
